,이름,팀,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,피안타,피2루,피3루,피홈런,볼넷,고의사구,사구,탈삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,birth,pid
6,뷰캐넌,21삼,30,1,1,30,16,5,0,0,177.0,71,61,758,173,25,4,13,59,2,2,162,0,7,3.10,3.46,1.31,145.5,130.3,4.54,1.66,1989-05-11,20129
35,브룩스,21K,13,0,0,13,3,5,0,0,78.0,34,29,333,93,12,1,4,16,0,1,55,0,0,3.35,3.24,1.40,132.9,137.5,2.08,0.54,1990-04-27,20130
48,브리검,21키,10,0,0,10,7,3,0,0,61.0,25,20,250,49,8,0,6,26,0,4,49,0,3,2.95,4.48,1.23,150.2,96.4,1.44,0.30,1988-02-10,20131
212,서균,21한,3,0,0,0,0,0,0,0,1.2,2,2,10,2,0,0,0,0,0,2,0,0,0,10.80,6.93,1.20,40.6,64.1,-0.09,-0.19,1992-01-11,20132
267,서덕원,21K,24,0,0,0,1,0,0,1,32.2,28,27,148,36,8,1,7,14,0,0,24,0,5,7.44,5.94,1.53,59.8,74.4,-0.29,-0.82,1993-07-12,20133
122,서동민,21S,20,0,0,0,0,0,0,0,26.1,15,15,118,27,4,1,5,17,0,1,24,0,1,5.13,6.03,1.67,87.5,75.7,0.23,0.08,1994-03-07,20134
290,서준원,21롯,26,0,0,8,1,3,0,3,54.0,46,44,257,72,13,2,5,29,3,2,37,0,1,7.33,4.72,1.87,62.0,94.4,-0.65,-1.07,2000-11-05,20135
42,서진용,21S,65,0,0,0,7,5,9,3,67.1,28,25,297,57,8,1,9,43,7,0,62,0,3,3.34,4.83,1.49,134.3,94.3,1.70,-1.92,1992-10-02,20136
249,소이현,21N,10,0,0,0,0,0,0,0,10.2,12,8,59,13,3,0,1,12,0,0,10,0,1,6.75,6.05,2.34,67.3,74.8,-0.21,-0.22,1999-02-09,20137
65,소형준,21K,24,0,0,24,7,7,0,0,119.0,67,55,521,123,17,0,6,51,1,4,85,0,5,4.16,3.92,1.46,108.0,113.3,1.02,-0.52,2001-09-16,20138
191,손정욱,21N,15,0,0,0,1,0,0,0,12.1,9,9,61,17,2,3,1,7,0,0,8,0,1,6.57,4.79,1.95,69.1,94.2,-0.02,-0.45,1990-12-24,20139
289,손주영,21L,7,0,0,6,1,3,0,0,26.2,25,25,127,31,7,2,4,20,0,1,21,0,1,8.44,6.07,1.91,51.1,70.6,-0.63,-0.88,1998-12-02,20140
140,송명기,21N,24,0,0,24,8,9,0,0,123.1,83,81,574,147,39,2,12,58,1,9,102,1,2,5.91,4.55,1.66,76.8,99.3,0.11,-0.74,2000-08-09,20141
120,송윤준,21한,17,0,0,0,0,0,0,2,12.2,5,5,55,12,2,0,1,6,1,2,8,0,0,3.55,4.75,1.42,123.3,93.8,0.24,-0.02,1992-07-16,20142
92,송은범,21L,35,0,0,0,2,2,0,4,37.1,18,17,155,34,7,0,1,13,1,2,19,0,4,4.10,3.79,1.26,105.3,116.0,0.43,0.37,1984-03-17,20143
300,송재영,21롯,19,0,0,0,0,2,0,1,14.2,23,22,79,24,6,0,3,12,0,1,13,0,1,13.50,6.88,2.46,33.7,65.0,-0.93,-0.48,2002-06-20,20144
8,수아레즈,21L,23,0,0,22,10,2,0,0,115.1,33,28,473,91,16,2,4,41,0,4,126,0,2,2.18,2.77,1.15,197.4,157.7,4.44,2.60,1992-09-11,20145
209,스미스,21키,2,0,0,2,1,0,0,0,10.0,7,7,43,9,2,0,1,5,0,0,5,0,0,6.30,5.13,1.40,70.4,84.4,-0.08,-0.14,1987-08-07,20146
22,스트레일리,21롯,31,0,0,31,10,12,0,0,165.2,85,75,714,162,25,2,12,66,0,8,164,1,8,4.07,3.63,1.38,111.5,122.8,3.02,0.14,1988-12-01,20147
28,신민혁,21N,30,0,0,25,9,6,0,0,145.0,75,71,625,155,28,3,17,44,0,5,107,2,2,4.41,4.40,1.37,103.0,102.9,2.66,0.11,1999-02-04,20148
162,신재영,21S,20,0,0,1,0,0,0,0,28.1,18,18,124,35,5,1,3,2,0,4,27,0,1,5.72,3.44,1.31,78.5,133.3,0.05,-0.54,1989-11-18,20149
142,신재웅,21S,8,0,0,0,0,0,0,0,8.1,4,4,37,6,1,0,0,5,0,0,9,1,0,4.32,2.97,1.32,103.9,151.0,0.11,0.03,1982-03-28,20150
304,신정락,21한,20,0,0,0,0,2,0,2,20.0,24,19,102,25,6,1,3,15,2,3,14,0,0,8.55,6.28,2.00,51.2,71.0,-1.08,-0.78,1987-05-13,20151
213,신지후,21한,2,0,0,0,0,0,0,0,0.1,2,0,3,0,0,0,0,1,0,0,0,0,0,0.00,12.33,3.00,,36.4,-0.09,-0.01,2001-06-12,20152
61,심재민,21K,28,0,0,2,0,1,0,1,46.2,15,15,189,41,4,0,4,11,1,0,35,0,0,2.89,3.59,1.11,155.3,123.8,1.16,-0.07,1994-02-18,20153
132,심창민,21삼,59,0,0,0,3,2,0,16,51.1,32,29,238,47,12,0,8,32,0,6,58,1,2,5.08,5.32,1.54,88.8,85.3,0.15,-0.43,1993-02-01,20154
90,안영명,21K,35,0,0,0,0,1,0,4,35.1,17,16,145,24,3,0,2,11,0,1,32,0,0,4.08,3.28,0.99,110.2,135.9,0.51,-0.13,1984-11-19,20155
31,안우진,21키,21,0,0,21,7,8,0,0,107.2,47,39,450,88,15,1,13,41,1,7,110,1,5,3.26,4.17,1.20,136.0,102.7,2.46,0.55,1999-08-30,20156
181,안인산,21N,7,0,0,0,0,0,0,0,6.2,5,4,34,3,1,0,0,7,0,3,9,0,3,5.40,5.13,1.50,84.1,87.1,0.01,-0.08,2001-02-27,20157
245,양선률,21S,1,0,0,1,0,1,0,0,1.0,3,3,10,3,0,0,0,3,0,1,1,0,1,27.00,13.33,6.00,16.6,33.8,-0.19,-0.28,1997-04-15,20158
236,양창섭,21삼,9,0,0,0,1,1,0,1,15.0,11,11,73,21,5,0,3,8,0,0,13,0,1,6.60,5.80,1.93,68.4,78.7,-0.16,-0.40,1999-09-22,20159
182,양현,21키,45,0,0,0,1,2,0,5,48.0,31,25,225,59,11,0,3,26,4,1,22,0,1,4.69,4.67,1.77,94.6,93.4,0.01,-0.52,1992-08-23,20160
71,엄상백,21K,10,0,0,9,4,1,0,0,52.2,24,24,228,41,10,0,7,28,0,3,45,0,0,4.10,5.12,1.31,109.5,86.7,0.94,0.03,1996-10-04,20161
189,오동욱,21한,34,0,0,0,0,1,0,2,25.0,17,15,117,21,9,0,3,16,0,5,13,0,0,5.40,6.37,1.48,81.1,70.0,-0.00,-0.32,2001-02-01,20162
196,오석주,21L,9,0,0,0,0,0,0,0,8.1,6,6,38,9,1,0,0,6,0,0,7,0,0,6.48,3.81,1.80,66.6,116.4,-0.03,-0.05,1998-04-14,20163
21,오승환,21삼,64,0,0,0,0,2,44,0,62.0,17,14,252,56,15,3,3,16,3,2,57,0,2,2.03,2.85,1.16,222.1,157.9,3.03,4.31,1982-07-15,20164
301,오원석,21S,33,0,0,21,7,6,0,2,110.0,84,72,530,125,20,3,11,73,1,10,95,1,2,5.89,5.14,1.80,76.2,88.2,-1.00,-2.81,2001-04-23,20165
173,오윤석,21롯,1,0,0,0,0,0,0,0,0.2,0,0,2,0,0,0,0,0,0,0,0,0,0,0.00,3.33,0.00,,133.6,0.03,0.00,1992-02-24,20166
291,오주원,21키,21,0,0,0,1,1,1,0,18.1,20,20,89,33,8,0,3,4,1,0,9,0,1,9.82,4.97,2.02,45.2,86.0,-0.68,-0.89,1985-03-31,20167
220,오현택,21롯,20,0,0,0,0,1,0,1,16.1,13,12,87,28,7,0,2,8,2,1,8,0,0,6.61,5.23,2.20,68.7,85.2,-0.12,-0.80,1985-07-17,20168
5,요키시,21키,31,0,0,31,16,9,0,0,181.1,71,59,739,171,24,0,12,46,2,4,131,0,9,2.93,3.54,1.20,151.4,122.4,4.68,1.62,1989-07-29,20169
66,우규민,21삼,60,0,0,0,3,3,2,24,49.0,22,18,213,58,4,1,5,9,1,2,35,0,1,3.31,3.84,1.37,136.5,118.1,1.02,-0.84,1985-01-21,20170
73,원종현,21N,61,0,0,0,2,2,14,6,53.0,27,25,245,67,9,0,5,23,2,3,45,0,4,4.25,4.22,1.70,107.0,107.0,0.92,-1.58,1987-07-31,20171
4,원태인,21삼,26,0,0,26,14,7,0,0,158.2,59,54,655,147,32,1,11,51,1,5,129,1,5,3.06,3.65,1.25,147.4,123.4,4.76,2.41,2000-04-06,20172
223,유원상,21K,11,0,0,0,1,1,0,1,13.0,10,9,60,15,2,0,0,6,0,0,13,0,3,6.23,2.72,1.62,72.1,164.4,-0.12,-0.08,1986-06-17,20173
210,유재유,21두,4,0,0,0,0,0,0,0,3.1,4,4,19,4,0,0,2,5,0,0,1,0,1,10.80,15.03,2.70,39.9,27.9,-0.09,-0.04,1997-03-03,20174
307,유희관,21두,15,0,0,15,4,7,0,0,63.0,57,54,314,107,14,3,10,24,0,3,23,0,0,7.71,5.95,2.08,55.9,71.8,-1.49,-1.98,1986-06-01,20175
47,윤대경,21한,43,0,0,9,2,5,0,7,77.2,35,34,337,73,13,0,8,34,2,6,54,0,3,3.94,4.75,1.38,111.2,93.8,1.50,0.86,1994-04-09,20176
128,윤명준,21두,45,0,0,0,1,0,0,1,45.2,28,24,208,53,6,0,3,20,2,4,26,1,1,4.73,4.49,1.60,91.2,96.7,0.17,-0.44,1989-06-18,20177
188,윤산흠,21한,5,0,0,0,0,0,0,0,3.0,2,2,19,7,0,0,0,2,0,2,2,0,0,6.00,6.00,3.00,73.0,74.3,-0.00,-0.06,1999-05-15,20178
166,윤성빈,21롯,1,0,0,0,0,0,0,0,1.0,0,0,5,0,0,0,0,1,0,0,0,0,0,0.00,6.33,1.00,,70.4,0.04,0.00,1999-02-26,20179
91,윤정현,21키,10,0,0,0,0,0,0,1,12.1,2,2,53,11,2,0,0,5,0,1,7,0,0,1.46,3.66,1.30,303.8,121.2,0.44,0.08,1993-05-17,20180
57,윤중현,21K,30,0,0,13,5,6,0,2,82.2,44,36,373,91,7,1,7,31,0,14,33,0,2,3.92,5.27,1.48,113.5,84.3,1.26,-0.31,1995-04-25,20181
115,윤호솔,21한,55,0,0,0,3,0,0,8,48.2,29,25,214,41,13,2,7,30,1,3,42,0,3,4.62,5.45,1.46,94.7,81.8,0.27,0.63,1994-07-15,20182
281,이강준,21K롯,15,0,0,0,1,0,0,0,8.1,11,10,48,11,1,0,1,12,0,3,4,0,2,10.80,9.33,2.76,41.9,47.7,-0.43,-0.30,2001-12-14,20183
288,이건욱,21S,5,0,0,4,0,1,0,0,12.2,16,16,72,16,4,0,4,19,0,1,5,0,0,11.37,11.39,2.76,39.5,39.9,-0.63,-0.90,1995-02-13,20184
250,이교훈,21두,11,0,0,0,0,0,0,0,8.1,10,10,43,13,3,0,2,3,0,1,8,0,0,10.80,5.97,1.92,39.9,70.2,-0.21,-0.06,2000-05-29,20185
86,이대은,21K,31,0,0,0,3,2,1,9,31.0,15,12,128,27,6,0,4,11,0,1,22,0,0,3.48,4.75,1.23,128.9,93.3,0.54,-0.14,1989-03-23,20186
305,이민우,21K,16,1,0,12,1,6,0,0,57.0,53,51,275,78,12,3,8,31,0,5,28,1,2,8.05,6.07,1.91,55.2,73.0,-1.12,-1.84,1993-02-09,20187
52,이민호,21L,25,0,0,22,8,9,0,0,115.0,58,55,477,89,17,0,13,45,1,14,100,0,6,4.30,4.58,1.17,100.2,93.7,1.35,0.13,2001-08-30,20188
298,이보근,21K,15,0,0,0,0,1,0,1,10.0,18,17,61,25,4,0,3,6,0,0,7,0,2,15.30,7.63,3.10,29.4,57.9,-0.88,-0.84,1986-04-30,20189
214,이상규,21L,7,0,0,0,0,0,0,0,6.0,6,6,29,8,2,0,1,2,0,1,4,0,0,9.00,5.67,1.67,47.9,75.1,-0.10,0.02,1996-10-20,20190
238,이상동,21K,6,0,0,0,0,1,0,1,6.1,6,6,29,7,0,0,0,3,0,0,5,0,1,8.53,3.18,1.58,52.7,140.4,-0.17,-0.28,1995-11-24,20191
135,이상민,21삼,30,0,0,0,1,1,0,3,24.2,15,13,110,28,6,1,2,14,0,0,14,0,1,4.74,4.95,1.70,95.2,90.8,0.13,0.31,1990-11-04,20192
113,이상영,21L,21,0,0,9,1,1,0,0,50.0,28,24,228,48,8,0,7,32,0,8,30,0,3,4.32,6.35,1.60,99.8,67.7,0.29,-0.34,2000-12-03,20193
302,이승관,21한,8,0,0,2,0,2,0,0,5.2,20,17,44,11,3,1,1,16,0,0,5,0,1,27.00,12.33,4.77,16.2,36.3,-1.04,-0.57,1999-12-01,20194
299,이승민,21삼,11,0,0,11,1,4,0,0,35.2,34,34,173,50,6,1,6,18,0,3,22,0,0,8.58,6.05,1.91,52.6,75.1,-0.88,-1.17,2000-08-26,20195
279,이승재,21K,25,0,0,0,2,1,0,5,24.0,20,20,118,26,2,0,5,18,0,3,17,1,3,7.50,7.25,1.83,59.3,61.1,-0.41,-0.49,2000-10-04,20196
78,이승진,21두,47,0,0,0,1,4,2,13,48.1,24,21,210,41,3,0,3,31,2,2,28,2,2,3.91,4.91,1.49,110.3,88.8,0.73,0.25,1995-01-07,20197
207,이승헌,21N,5,0,0,0,0,0,0,0,5.1,5,4,27,9,3,0,0,1,0,0,7,0,0,6.75,1.27,1.88,67.3,350.0,-0.06,-0.03,1995-12-20,20198
187,이승헌,21롯,16,0,0,12,0,3,0,0,57.2,39,37,278,65,10,0,2,43,0,7,32,1,11,5.77,5.28,1.87,78.7,84.6,-0.00,-0.93,1998-12-19,20199
283,이승현,21삼,21,0,0,0,1,1,0,1,17.0,18,18,86,30,5,1,6,8,0,0,7,0,1,9.53,8.51,2.24,47.4,54.1,-0.45,-0.49,1991-11-20,20200
133,이승현,21삼,41,0,0,0,1,4,0,7,39.1,24,23,174,35,8,0,3,23,0,3,46,0,5,5.26,3.97,1.48,85.8,113.2,0.14,-0.32,2002-05-19,20201
292,이승호,21키,38,0,0,3,1,3,0,5,47.1,39,29,224,55,7,1,4,31,2,1,37,0,8,5.51,4.77,1.82,80.4,90.8,-0.68,-1.15,1999-02-08,20202
262,이영하,21두,35,0,0,11,5,6,1,2,78.2,58,55,364,81,18,0,9,57,0,1,53,0,7,6.29,5.68,1.75,68.5,75.8,-0.28,-1.63,1997-11-01,20203
227,이용준,21N,2,0,0,0,0,0,0,0,1.2,4,4,12,3,0,0,0,4,0,0,1,0,2,21.60,9.33,4.20,21.0,48.4,-0.13,-0.02,2002-05-08,20204
41,이용찬,21N,39,0,0,0,1,3,16,3,37.0,11,9,151,27,4,0,2,11,3,1,35,1,2,2.19,2.87,1.03,207.4,156.6,1.71,0.12,1989-01-02,20205
156,이우석,21N,10,0,0,0,1,0,0,0,9.2,6,6,49,13,4,0,1,7,0,3,8,0,0,5.59,6.13,2.07,81.3,73.5,0.06,0.06,1996-04-16,20206
263,이우찬,21L,15,0,0,5,0,1,0,0,34.0,25,21,161,36,3,1,3,25,0,1,27,0,0,5.56,5.19,1.79,77.6,83.5,-0.28,-0.54,1992-08-04,20207
32,이의리,21K,19,0,0,19,4,5,0,0,94.2,42,38,404,69,11,0,6,56,0,2,93,0,5,3.61,4.03,1.32,123.1,111.0,2.36,0.31,2002-06-16,20208
55,이인복,21롯,25,0,0,8,3,0,0,1,61.1,31,28,271,75,17,3,5,14,1,5,45,0,0,4.11,3.81,1.45,110.6,117.3,1.31,0.08,1991-06-18,20209
153,이재익,21삼,11,0,0,0,2,0,0,0,10.0,6,5,51,11,0,0,1,12,1,0,5,0,0,4.50,6.93,2.30,100.3,65.1,0.07,-0.22,1994-03-18,20210
88,이재학,21N,17,2,1,17,6,6,0,0,83.0,50,48,370,74,16,1,14,52,0,6,65,0,3,5.20,6.06,1.52,87.2,74.8,0.53,-0.45,1990-10-04,20211
131,이재희,21삼,5,0,0,5,0,1,0,0,21.2,13,13,95,24,3,1,2,10,0,0,17,0,2,5.40,4.35,1.57,83.6,103.7,0.16,-0.06,2001-10-11,20212
40,이정용,21L,66,0,0,0,3,3,0,15,69.2,25,23,284,55,13,2,4,23,1,1,74,0,0,2.97,2.95,1.12,145.2,146.9,1.88,1.11,1997-03-26,20213
243,이정현,21K,2,0,0,1,0,1,0,0,8.2,9,9,38,12,3,0,3,5,0,0,1,0,0,9.35,9.33,1.96,48.1,47.3,-0.19,-0.33,1997-12-05,20214
242,이종민,21키,2,0,0,0,0,0,0,0,2.1,6,6,17,4,0,0,1,7,0,0,3,0,0,23.14,15.33,4.71,19.2,28.0,-0.18,-0.01,2001-06-04,20215
201,이준영,21K,50,0,0,1,3,2,1,9,35.2,25,22,159,30,5,0,3,19,1,0,26,0,3,5.55,4.48,1.37,80.1,99.1,-0.05,-0.65,1992-08-10,20216
202,이찬혁,21L,1,0,0,0,0,0,0,0,1.0,2,2,6,1,1,0,0,2,0,0,2,0,1,18.00,5.33,3.00,24.0,82.9,-0.06,0.00,1998-08-19,20217
79,이창재,21K,32,0,0,0,2,0,0,0,26.2,8,8,108,22,5,0,0,10,2,0,19,0,0,2.70,2.81,1.20,166.4,158.6,0.68,0.23,1992-12-29,20218
230,이채호,21S,3,0,0,0,0,0,0,0,5.0,7,4,27,8,0,0,2,3,0,0,3,0,1,7.20,9.13,2.20,62.3,50.2,-0.14,-0.01,1998-11-23,20219
280,이충호,21한,17,0,0,0,1,0,0,0,16.1,17,14,85,20,2,2,1,13,0,3,11,0,0,7.71,5.72,2.02,56.8,78.0,-0.43,-0.38,1994-09-20,20220
129,이태양,21S,40,0,0,14,5,10,0,4,103.2,66,66,456,123,23,1,25,32,1,1,62,0,2,5.73,6.20,1.50,78.3,73.8,0.17,-1.18,1990-07-03,20221
67,이현승,21두,38,0,0,0,5,1,0,7,23.1,6,5,90,16,2,0,1,6,1,0,20,0,0,1.93,2.82,0.94,223.7,154.5,0.97,0.89,1983-10-11,20222
199,이형범,21두,4,0,0,0,0,0,0,0,2.2,2,0,16,2,0,0,0,5,0,1,2,0,0,0.00,8.58,2.63,,51.4,-0.04,-0.55,1994-02-27,20223
235,임규빈,21키,5,0,0,0,0,0,0,0,8.2,10,10,43,13,6,0,3,4,0,0,6,0,0,10.38,7.83,1.96,42.7,53.9,-0.16,0.00,1991-09-12,20224
37,임기영,21K,28,0,0,28,8,8,0,0,153.0,85,83,662,155,29,1,15,45,0,11,129,2,6,4.88,4.02,1.31,91.1,110.6,2.00,-0.13,1993-04-16,20225
114,임정호,21N,60,0,0,0,0,4,0,12,34.2,20,16,165,37,4,1,2,25,2,3,24,0,0,4.15,4.95,1.79,109.3,91.0,0.27,-0.66,1990-04-16,20226
293,임준섭,21한,13,0,0,0,0,0,0,0,10.2,18,13,64,19,5,0,1,8,0,4,11,1,1,10.97,5.86,2.53,39.9,76.0,-0.68,-0.23,1989-07-16,20227
81,임준형,21L,6,0,0,4,1,0,0,0,23.0,8,8,94,24,5,0,0,4,0,3,21,0,1,3.13,2.42,1.22,137.8,183.4,0.65,0.46,2000-11-16,20228
50,임찬규,21L,17,0,0,17,1,8,0,0,90.2,45,39,387,76,9,3,7,41,1,3,67,0,5,3.87,4.28,1.29,111.4,101.1,1.38,0.15,1992-11-20,20229
95,임창민,21N,46,0,0,0,0,3,0,17,40.1,23,17,178,35,8,0,2,20,1,4,29,0,7,3.79,4.25,1.36,119.7,105.8,0.39,0.23,1985-08-25,20230
206,임현준,21삼,27,0,0,0,1,2,0,5,11.0,8,8,52,11,1,2,0,7,0,4,8,0,0,6.55,4.88,1.64,69.0,91.3,-0.06,-0.68,1988-12-21,20231
93,장민기,21K,21,0,0,0,2,1,0,2,23.1,11,9,114,13,3,1,1,29,0,4,22,0,2,3.47,6.25,1.80,128.1,71.7,0.43,-0.67,2001-12-30,20232
106,장민재,21한,12,0,0,6,0,2,0,0,29.1,17,9,128,34,7,0,4,8,1,0,13,0,1,2.76,4.94,1.43,158.6,90.3,0.32,-0.01,1990-03-19,20233
306,장시환,21한,19,1,0,16,0,11,0,1,69.0,62,54,342,87,12,1,4,48,2,6,47,0,7,7.04,4.99,1.96,62.2,89.5,-1.38,-2.32,1987-11-01,20234
228,장웅정,21한,4,0,0,0,0,0,0,0,7.1,8,8,38,15,4,0,4,2,0,0,4,0,1,9.82,10.15,2.32,44.6,43.9,-0.13,-0.09,1997-04-11,20235
258,장원준,21두,32,0,0,0,0,1,1,4,18.2,15,14,95,20,3,0,1,18,0,2,8,0,1,6.75,6.39,2.04,63.9,68.5,-0.25,-0.30,1985-07-31,20236
287,장재영,21키,19,0,0,2,0,1,0,0,17.2,18,18,92,15,5,0,0,24,0,3,14,0,5,9.17,6.33,2.21,48.3,69.7,-0.54,-0.87,2002-05-10,20237
116,장지수,21K,9,0,0,0,0,0,0,0,14.1,6,5,67,9,2,0,1,13,0,3,5,0,1,3.14,6.89,1.54,141.6,64.7,0.26,-0.07,2000-05-25,20238
63,장지훈,21S,60,0,0,0,2,5,1,10,80.1,40,35,342,84,12,2,6,19,1,4,51,1,1,3.92,3.86,1.28,114.4,117.5,1.11,-0.67,1998-12-06,20239
282,장필준,21삼,41,0,0,0,0,0,0,2,34.2,30,28,174,46,8,1,4,27,1,1,24,0,4,7.27,5.78,2.11,62.1,78.1,-0.43,-0.68,1988-04-08,20240
25,장현식,21K,69,0,0,0,1,5,1,34,76.2,28,28,336,67,7,1,7,42,1,3,80,0,8,3.29,4.15,1.42,135.3,107.3,2.93,1.98,1995-02-24,20241
112,전상현,21K,15,0,0,0,1,0,0,7,13.0,6,5,59,15,3,0,1,6,0,0,8,0,1,3.46,4.49,1.62,128.5,99.2,0.30,0.44,1996-04-18,20242
148,전유수,21K,11,0,0,0,1,0,0,0,10.2,6,4,46,9,1,0,1,6,0,0,9,0,0,3.38,4.55,1.41,133.1,97.6,0.09,-0.07,1986-11-29,20243
154,정동윤,21S,1,0,0,0,0,0,0,0,2.0,0,0,7,1,0,0,0,1,0,0,0,0,0,0.00,4.83,1.00,,92.2,0.07,0.00,1997-10-22,20244
232,정성종,21롯,12,0,0,0,0,0,0,0,12.0,12,11,65,19,1,0,2,8,0,1,4,0,2,8.25,7.08,2.25,55.1,63.1,-0.14,-0.10,1995-11-16,20245
260,정수민,21S,10,0,0,7,1,2,0,0,30.1,24,23,151,34,5,1,6,27,1,1,22,0,1,6.82,7.12,2.01,65.8,63.8,-0.26,-0.59,1990-04-01,20246
195,정영일,21S,1,0,0,0,0,0,0,0,2.0,2,2,9,4,1,0,1,0,0,0,0,0,0,9.00,9.83,2.00,49.9,46.7,-0.03,-0.00,1988-11-16,20247
268,정우람,21한,50,0,0,0,1,4,15,1,44.2,29,28,199,47,5,0,5,20,2,5,32,0,0,5.64,4.90,1.50,77.6,91.0,-0.30,-1.27,1985-06-01,20248
16,정우영,21L,70,0,0,0,7,3,2,27,65.0,16,16,263,43,9,0,0,26,1,8,41,0,2,2.22,3.59,1.06,194.7,123.3,3.21,1.94,1999-08-19,20249
215,정우준,21롯,6,0,0,0,0,0,0,0,5.2,6,6,29,6,2,0,1,5,0,2,4,0,0,9.53,7.92,1.94,47.7,56.5,-0.10,-0.19,2000-03-17,20250
193,정인욱,21한,8,0,0,1,0,0,0,0,9.1,6,5,44,6,1,0,2,10,0,0,6,0,0,4.82,8.05,1.71,90.8,55.4,-0.02,-0.19,1990-12-18,20251
155,정진호,21한,3,0,0,0,0,0,0,0,1.2,0,0,6,1,0,0,0,1,0,0,0,0,0,0.00,5.13,1.20,,87.0,0.06,0.00,1988-10-02,20252
43,정찬헌,21L키,23,1,1,23,9,5,0,0,114.1,55,51,497,133,23,2,6,27,0,6,59,0,3,4.01,3.85,1.40,108.9,113.4,1.68,0.71,1990-01-26,20253
13,정해영,21K,64,0,0,0,5,4,34,0,65.1,18,16,272,49,10,0,5,28,1,4,49,0,1,2.20,4.25,1.18,201.8,104.7,3.79,2.88,2001-08-23,20254
257,조병현,21S,3,0,0,3,0,0,0,0,6.2,7,6,33,7,3,0,1,5,0,1,8,0,1,8.10,5.58,1.80,55.4,81.8,-0.22,-0.45,2002-05-08,20255
59,조상우,21키,44,0,0,0,6,5,15,5,44.0,18,17,187,30,5,0,4,19,2,2,47,0,2,3.48,3.67,1.11,127.5,116.9,1.19,1.02,1994-09-04,20256
170,조영건,21키,1,0,0,0,0,0,0,0,1.0,0,0,6,1,0,0,0,2,0,0,3,0,0,0.00,3.33,3.00,,128.9,0.04,-0.00,1999-02-04,20257
216,조영우,21S,30,0,0,8,4,8,1,0,66.2,46,42,291,74,10,2,10,26,0,0,48,0,3,5.67,5.01,1.50,79.1,90.8,-0.10,-0.32,1995-06-27,20258
205,조요한,21S,6,0,0,0,0,0,0,1,7.0,6,6,38,10,3,0,0,9,0,0,4,0,0,7.71,6.05,2.71,58.2,73.9,-0.06,-0.23,2000-01-06,20259
275,조제영,21두,6,0,0,1,0,1,0,0,10.2,13,13,60,18,3,0,1,10,1,1,5,0,1,10.97,6.43,2.63,39.3,67.5,-0.38,-0.43,2001-02-12,20260
75,조현우,21K,49,0,0,0,0,0,0,6,31.0,10,9,126,26,5,1,0,7,1,1,13,0,2,2.61,3.17,1.07,171.9,140.3,0.88,0.73,1994-03-30,20261
51,주권,21K,62,0,0,0,3,4,0,27,49.0,19,18,208,48,7,1,3,19,2,1,19,0,1,3.31,4.46,1.37,135.9,99.5,1.37,0.65,1995-05-31,20262
64,주현상,21한,43,0,0,0,2,2,0,4,50.1,21,20,218,46,6,3,6,21,2,1,33,0,6,3.58,4.76,1.33,122.5,93.6,1.04,-0.26,1992-08-10,20263
147,지명성,21K,3,0,0,0,1,0,0,0,4.0,1,0,16,1,0,0,0,1,0,1,4,0,0,0.00,2.83,0.50,,156.7,0.09,0.02,2002-02-15,20264
117,진명호,21롯,33,0,0,0,2,2,0,3,24.1,14,13,107,20,5,0,3,14,0,2,24,0,1,4.81,4.94,1.40,94.5,90.5,0.25,-0.65,1989-03-20,20265
74,진해수,21L,50,0,0,0,1,0,0,5,44.1,17,12,188,41,4,0,2,18,1,3,39,0,1,2.44,3.51,1.33,177.1,124.1,0.89,-0.19,1986-06-26,20266
234,차명진,21K,4,0,0,3,0,1,0,0,10.2,9,9,57,12,3,0,1,13,0,1,6,0,0,7.59,7.36,2.34,58.6,60.5,-0.16,-0.41,1995-03-03,20267
208,차우찬,21L,5,0,0,5,2,1,0,0,22.1,14,13,99,16,3,0,2,13,0,3,12,0,0,5.24,5.57,1.30,82.3,77.8,-0.08,-0.36,1987-05-31,20268
121,채지선,21L,14,0,0,0,0,0,0,0,17.1,8,6,87,15,5,0,0,20,0,0,18,2,2,3.12,4.72,2.02,138.5,93.9,0.24,-0.10,1995-07-11,20269
94,최금강,21N,20,0,0,0,2,1,1,0,28.0,14,14,129,29,6,0,4,17,0,2,25,0,3,4.50,5.44,1.64,100.9,83.2,0.41,-0.36,1989-04-26,20270
237,최동환,21L,8,0,0,0,0,0,0,0,5.2,6,6,28,6,1,0,0,4,0,2,2,0,0,9.53,5.80,1.77,45.3,76.1,-0.16,0.00,1989-09-19,20271
177,최민준,21S,38,0,0,12,3,3,0,4,86.0,56,56,398,93,17,0,11,50,0,7,62,1,5,5.86,5.54,1.66,76.6,81.9,0.02,-1.71,1999-06-11,20272
72,최성훈,21L,46,0,0,0,1,1,0,3,40.2,14,11,179,40,7,1,2,19,1,1,33,0,0,2.43,3.75,1.45,177.2,116.2,0.92,-0.22,1989-10-11,20273
160,최세창,21두,1,0,0,0,0,0,0,0,1.1,0,0,5,1,0,0,0,1,0,0,0,0,0,0.00,5.58,1.50,,79.4,0.05,0.00,2001-06-01,20274
